Profit and Loss by Month,,,,,,,,,,,,,,,,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2024-November 30, 2025",,,,,,,,,,,,,,,,,,,,,,,,

Distribution account,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,Total
Total for Cost of Goods Sold,986.70,"4,660.26",705.87,"16,580.61","7,916.37","4,956.27","19,752.15","33,470.83","9,495.90","7,074.72","7,309.03","11,933.00","9,640.20","16,864.96","11,004.09","21,388.44","41,604.92","43,612.10","38,360.93","27,494.81","26,629.53","40,372.76","85,199.62","$487,014.07"
Gross Profit,"1,172.63","6,249.29",560.63,"39,851.44","14,396.15","9,312.82","43,635.98","74,954.59","24,568.95","17,403.43","20,607.97","73,824.27","54,082.87","102,715.42","65,852.79","127,373.28","209,472.50","231,912.73","162,899.34","151,040.34","153,650.85","227,392.66","389,044.16","$2,201,975.09"
Expenses,,,,,,,,,,,,,,,,,,,,,,,,
6000 Cost of Sales,,,,,,,,,,,,,,,,,,,,,,,,
6010 Outbound Shipping & Delivery,206.71,"3,114.84",657.37,"9,733.41","3,905.41","6,822.27","3,074.44","6,523.69","6,184.83","5,772.32","3,728.58","9,969.51","8,157.44","14,116.25","9,153.38","17,753.20","32,514.37","38,590.42","31,842.56","23,439.41","22,348.31","29,956.63","65,943.65","353,509.00"
6020 3PL Expense,,,,,,,882.20,"5,308.41","2,900.15","2,459.97","1,577.22",390.71,96.69,"25,841.83","7,502.98","3,606.17","6,816.60",294.21,"21,762.00","32,375.00",,"26,773.88","18,425.10","157,013.12"
6040 Storage,,,,,,,40.00,40.00,40.00,40.00,80.00,20.00,,,,,,,,,,,,260.00
6055 Amazon Seller Fees,122.80,"1,189.22",39.99,"2,224.78","1,261.13",370.29,"3,298.76","2,632.59",392.79,662.19,983.04,47.55,39.99,39.99,39.99,79.98,,,3.47,,,,8.47,"13,437.02"
6057 Amazon Shipping Fees,0.75,9.85,,,,,,,,0.02,0.04,,,,,,,,,,,,,10.66
6065 Shopify Merchant Fees,14.99,54.84,133.02,661.16,286.55,205.13,"1,072.42","1,564.03",986.29,246.31,448.09,"2,355.43",817.98,"1,554.27",586.39,"1,689.98","2,500.74","1,991.56","1,073.64","2,631.63","3,896.27","5,732.19","9,601.20","40,104.11"
6070 Shopify Selling Apps,,,,,,,,,,,,,996.25,"1,778.64","1,443.63","2,444.26","3,986.79","4,108.23","3,740.51","1,198.42",,,,"19,696.73"
6075 Other Merchant Processing Fees,70.27,129.04,37.73,"1,282.97",456.51,368.40,"1,001.80","2,875.74","3,071.32","1,177.25",855.67,"2,200.41","2,942.59","3,609.54","4,292.59","3,594.57","6,191.81","13,258.80","10,539.51","9,103.68","5,990.84","7,745.16","7,629.28","88,425.48"
Total for 6000 Cost of Sales,415.52,"4,497.79",868.11,"13,902.32","5,909.60","7,766.09","9,369.62","18,944.46","13,575.38","10,358.06","7,672.64","14,983.61","13,050.94","46,940.52","23,018.96","29,168.16","52,010.31","58,243.22","68,961.69","68,748.14","32,235.42","70,207.86","101,607.70","$672,456.12"
6100 Advertising & Marketing,357.93,20.00,"3,035.86",366.02,50.00,50.00,50.00,224.25,373.00,"1,257.56",165.63,861.20,719.00,69.00,119.00,719.00,,,,30.00,162.38,"7,188.00","25,569.00","41,386.83"
6110 Paid Advertising,75.00,3.00,,,,730.00,359.89,,"1,270.72",711.72,36.25,143.47,,,,,,70.53,"1,358.00","1,651.19","9,066.77","7,581.98","13,464.36","36,522.88"
6120 Affiliate Marketing Expense,"1,240.27",403.22,"2,973.32","6,432.74","4,858.56","6,239.32","8,334.67","13,772.28","5,690.94","6,305.18","6,274.16","31,588.51","18,554.36","28,241.94","23,641.44","37,824.09","52,153.22","53,178.95","52,001.01","44,885.98","38,024.35","55,416.26","75,674.79","573,709.56"
6130 Marketing Contractors and Agencies,,"3,351.34","2,069.65","1,865.00","2,229.81","3,000.00","2,086.90",,350.00,,,,236.90,945.00,"2,000.00",345.88,"14,580.00","7,000.00","18,520.46","7,000.00","2,500.00","9,442.78","15,452.69","92,976.41"
6140 Advertising Software & Apps,"1,248.99",-616.67,50.00,444.41,50.00,638.00,50.00,50.00,150.00,71.78,438.43,518.78,280.73,601.57,505.67,379.66,"3,501.70","4,079.22","7,655.75","8,058.30","9,040.22","9,087.80","9,201.28","55,485.62"
6145 Creatives,,,,,,,,,,,,196.00,,,,,,,,,,,,196.00
6150 Other Adv & Marketing Expense,,,,,,,,,,,,,,,,,,,,"1,100.00",,,,"1,100.00"
Total for 6100 Advertising & Marketing,"2,922.19","3,160.89","8,128.83","9,108.17","7,188.37","10,657.32","10,881.46","14,046.53","7,834.66","8,346.24","6,914.47","33,307.96","19,790.99","29,857.51","26,266.11","39,268.63","70,234.92","64,328.70","79,535.22","62,725.47","58,793.72","88,716.82","139,362.12","$801,377.30"
6210 Bank Charges & Fees,-0.01,,65.00,40.00,80.00,,126.78,145.00,40.00,65.00,330.59,115.00,25.00,125.00,140.00,75.00,222.49,12.11,326.86,240.59,436.39,108.29,516.25,"3,235.34"
6240 Contractors,,527.95,,,,,,,,,"2,674.98","-2,224.98","2,197.99",847.00,650.00,735.00,"1,270.00","1,570.00","2,900.00","3,664.00","3,097.44","3,444.00","4,360.00","25,713.38"
6250 Dues & Subscriptions,,,,,,,,,,,,,,,,,,,,,50.00,50.00,50.00,150.00
6260 Education & Training,,,,,,,,,"10,000.00",,,,,,,,,,,,,"1,337.00","1,349.00","12,686.00"
6290 Insurance,,,,172.25,516.75,,,,,,,,,,,187.25,,,,,,,,876.25
6300 Legal & Professional Services,530.50,772.00,30.50,160.50,36.50,38.00,38.00,41.00,296.00,54.50,59.00,66.50,68.00,84.50,598.00,116.00,"3,108.50","12,040.00","13,083.00",124.70,146.00,137.00,146.00,"31,774.70"
6320 Professional Expenses,,,,,,,,,,,,,,895.20,,,,"3,087.50","3,087.50","3,537.00","4,375.00","1,287.50",,"16,269.70"
6330 Accounting Prof Services,,,,,,,,,,,,,,,,,,"2,559.25","2,559.25","2,726.00","2,035.30","2,726.00",,"12,605.80"
6340 Meals & Entertainment,,,,,,,,,,,,,,752.74,,,413.21,,123.27,,,,122.55,"1,411.77"
6360 Other General & Admin Expense,,,,,,,,,,,,,,,,,,,,,111.00,285.91,"2,627.94","3,024.85"
6375 Software & Apps,135.18,339.60,370.35,53.20,31.60,97.80,97.80,310.60,140.60,285.44,126.93,993.05,799.57,"1,556.24","1,683.96",730.29,624.65,"1,030.04","1,503.84","2,562.96","2,022.15","2,894.25","2,633.18","21,023.28"
6390 Product Development,"2,485.31",66.96,669.33,149.11,,,,"2,534.64",,,132.83,"1,042.60",,74.48,34.60,,"2,500.00",,,,,66.99,70.00,"9,826.85"
6410 Rent & Lease,,,,200.00,,300.00,,,300.00,,,300.00,,,,"1,850.00",,,,,,,,"2,950.00"
6450 Taxes & Licenses,,,,,,,,,,,,,,,,,,,,"1,135.00",134.41,168.27,332.80,"1,770.48"
6470 Travel,,,,,,,,,,,,,25.00,"4,501.13",219.92,53.40,53.01,535.64,"3,662.22",953.97,191.21,263.03,47.18,"10,505.71"
6495 Discretionary Spending Expense,,,,,,,,,,,,,"1,117.24",,863.21,,"1,726.42",863.21,"1,404.87",863.21,863.21,863.21,"2,357.01","10,921.59"
Total for Expenses,"6,488.69","9,365.19","10,132.12","23,785.55","13,762.82","18,859.21","20,513.66","36,022.23","32,186.64","19,109.24","17,911.44","48,583.74","37,074.73","85,634.32","53,474.76","72,183.73","132,163.51","144,269.67","177,147.72","147,281.04","104,491.25","172,556.13","255,581.73","$1,638,579.12"
Net Operating Income,"-5,316.06","-3,115.90","-9,571.49","16,065.89",633.33,"-9,546.39","23,122.32","38,932.36","-7,617.69","-1,705.81","2,696.53","25,240.53","17,008.14","17,081.10","12,378.03","55,189.55","77,308.99","87,643.06","-14,248.38","3,759.30","49,159.60","54,836.53","133,462.43","$563,395.97"
Other Income,,,,,,,,,,,,,,,,,,,,,,,,
7000 Interest Income,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01
7010 Other Miscellaneous Income,,,"1,043.13",,,,,,,,,,,,,,,,,,,,,"1,043.13"
Total for Other Income,,,"1,043.13",,,,,,,,,,,,,,,,,,,0.01,,"$1,043.14"
Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,
8005 Depreciation,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.63,291.67,,,,,,,,,,,,"3,500.00"
Total for Other Expenses,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.63,291.67,,,,,,,,,,,,"$3,500.00"
Net Other Income,-291.67,-291.67,751.46,-291.67,-291.67,-291.67,-291.67,-291.67,-291.67,-291.67,-291.63,-291.67,,,,,,,,,,0.01,,"-$2,456.86"
Net Income,"-5,607.73","-3,407.57","-8,820.03","15,774.22",341.66,"-9,838.06","22,830.65","38,640.69","-7,909.36","-1,997.48","2,404.90","24,948.86","17,008.14","17,081.10","12,378.03","55,189.55","77,308.99","87,643.06","-14,248.38","3,759.30","49,159.60","54,836.54","133,462.43","$560,939.11"


"Accrual Basis Thursday, December 11, 2025 08:29 PM",,,,,,,,,,,,,,,,,,,,,,,,
