Transaction Detail by Account,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,
"January 1-December 3, 2025",,,,,,,,,

,Transaction date,Transaction type,Num,Name,Class full name,Memo/Description,Account full name,Amount,Balance
,01/04/2025,Expense,,Deshyra Hubard,,Zelle payment to Deshyra Hubard JPM99au6ji4f,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-364.72,476.75
,01/06/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250105 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8957081 EED:250106 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX7081 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-14.93,461.82
,01/06/2025,Deposit,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250105 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8957085 EED:250106 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX7085 TC,1060 Maverick Holding,"1,078.87","1,540.69"
,01/07/2025,Deposit,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250106 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8735559 EED:250107 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX5559 TC,1060 Maverick Holding,756.82,"2,297.51"
,01/07/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250106 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8735566 EED:250107 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX5566 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-7.57,"2,289.94"
,01/08/2025,Credit Card Payment,,,,Payment to Chase card ending in 0444 01/08,2110 R. NOEL (8277) - 1,"-3,700.08","-1,410.14"
,01/08/2025,Transfer,,,,Online Transfer to MMA ...8398 transaction#: XXXXXXX9761 01/08,1020 CHASE SAVINGS (8398),-100.00,"-1,510.14"
,01/08/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250107 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX3689701 EED:250108 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX9701 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-8.06,"-1,518.20"
,01/08/2025,Deposit,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250107 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX3689709 EED:250108 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX9709 TC,1060 Maverick Holding,646.07,-872.13
,01/08/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250107 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX3689704 EED:250108 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX9704 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-84.09,-956.22
,01/08/2025,Expense,,Yanellis,,Zelle payment to Yanellis XXXXXXX7444,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,-986.22
,01/09/2025,Expense,,Tricia G,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:250108 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX5593301 EED:250109 IND ID:XXXXXXXX51052 IND NAME:ROBERTO NO EL TRN: XXXXXX3301 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"-1,016.22"
,01/09/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250108 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX6142987 EED:250109 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX2987 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-64.38,"-1,080.60"
,01/09/2025,Expense,,Emilia Oviedo,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:250108 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX6242096 EED:250109 IND ID:XXXXXXXX41691 IND NAME:ROBERTO NO EL TRN: XXXXXX2096 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"-1,110.60"
,01/09/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250108 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX6142994 EED:250109 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX2994 TC,1060 Maverick Holding,486.16,-624.44
,01/09/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250108 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX6142982 EED:250109 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX2982 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-6.89,-631.33
,01/10/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250109 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX0361299 EED:250110 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX1299 TC,1060 Maverick Holding,"1,740.18","1,108.85"
,01/10/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250109 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX0361289 EED:250110 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX1289 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-140.07,968.78
,01/10/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250109 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX0361296 EED:250110 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX1296 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-17.71,951.07
,01/11/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250110 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8628397 EED:250113 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX8397 TC,1060 Maverick Holding,"2,212.50","3,163.57"
,01/11/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250110 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8628368 EED:250113 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX8368 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-41.26,"3,122.31"
,01/13/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250112 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX9006479 EED:250113 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX6479 TC,1060 Maverick Holding,"3,215.28","6,337.59"
,01/13/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250112 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX9006475 EED:250113 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX6475 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-37.34,"6,300.25"
,01/13/2025,Expense,,Tiana Griffin,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:250111 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX9188507 EED:250113 IND ID:XXXXXXXX25776 IND NAME:ROBERTO NO EL TRN: XXXXXX8507 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"6,270.25"
,01/13/2025,Transfer,,,,Payment to Chase card ending in 1487 01/13,2100 R. NOEL (1487) - 1,"-20,600.72","-14,330.47"
,01/14/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250113 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX5811728 EED:250114 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX1728 TC,1060 Maverick Holding,"1,322.20","-13,008.27"
,01/14/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250113 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX5811709 EED:250114 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX1709 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-16.34,"-13,024.61"
,01/15/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250114 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8370842 EED:250115 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX0842 TC,1060 Maverick Holding,"1,278.88","-11,745.73"
,01/15/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250114 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8370839 EED:250115 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX0839 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-15.09,"-11,760.82"
,01/15/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250114 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX8370834 EED:250115 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX0834 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-34.89,"-11,795.71"
,01/16/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250115 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8732961 EED:250116 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX2961 TC,1060 Maverick Holding,"5,920.01","-5,875.70"
,01/16/2025,Expense,,Iyanla Fredericksenraberry,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:250115 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX8831697 EED:250116 IND ID:XXXXXXXX17555 IND NAME:ROBERTO NO EL TRN: XXXXXX1697 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"-5,905.70"
,01/16/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250115 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX8732953 EED:250116 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX2953 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-160.17,"-6,065.87"
,01/16/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250115 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8732958 EED:250116 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX2958 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-71.54,"-6,137.41"
,01/17/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250116 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX9620256 EED:250117 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX0256 TC,1060 Maverick Holding,"2,920.15","-3,217.26"
,01/17/2025,Expense,,Molly B,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:250116 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX4434682 EED:250117 IND ID:XXXXXXXX83123 IND NAME:ROBERTO NO EL TRN: XXXXXX4682 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"-3,247.26"
,01/17/2025,Expense,,Tyler Gregg,,Zelle payment to Tyler Gregg JPM99av9c0t8,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"-3,277.26"
,01/17/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250116 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX9620252 EED:250117 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX0252 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-33.03,"-3,310.29"
,01/18/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250117 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8032074 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX2074 TC,1060 Maverick Holding,"3,122.78",-187.51
,01/18/2025,Expense,,Kamyn Stonebrajer,,Zelle payment to Kamyn Stonebrajer XXXXXXX4051,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,-217.51
,01/18/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250117 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX8032067 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX2067 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-34.89,-252.40
,01/18/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250117 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8032059 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX2059 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-34.56,-286.96
,01/21/2025,Check,,ARYN PAULI,,ONLINE DOMESTIC WIRE FEE,6210 Bank Charges & Fees,-25.00,-311.96
,01/21/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250119 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX1145957 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX5957 TC,1060 Maverick Holding,"4,206.06","3,894.10"
,01/21/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250120 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX1081576 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX1576 TC,1060 Maverick Holding,"1,205.48","5,099.58"
,01/21/2025,Expense,,"Outpost Brands, LLC",,"ONLINE DOMESTIC WIRE TRANSFER VIA: TRUIST BANK/XXXXX1387 A/C: OUTPOST BRANDS DAYTONA BEACH FL X2117 US REF: 1,067 BOXES AND SHIPPING/BNF/1,067 BOXES AND SHIPPIN G IMAD: 0121MMQFMP2LXX6580 TRN: XXXXXX5021 ES 01/21",1300 Inventory Asset,"-3,534.25","1,565.33"
,01/21/2025,Expense,,Hannah,,Zelle payment to Hannah JPM99avlu9j9,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"1,535.33"
,01/21/2025,Expense,,ERice Sldarriaga,,Zelle payment to Erice Sldarriaga JPM99avkm37h,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-30.00,"1,505.33"
,01/21/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250119 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX1145872 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX5872 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-42.13,"1,463.20"
,01/21/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250120 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX1081569 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX1569 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-54.08,"1,409.12"
,01/21/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250120 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX1081565 EED:250121 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX1565 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-13.00,"1,396.12"
,01/22/2025,Expense,,Tiana Griffin,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:250121 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX7301495 EED:250122 IND ID:XXXXXXXX34091 IND NAME:ROBERTO NO EL TRN: XXXXXX1495 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-66.00,"1,330.12"
,01/22/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250121 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX7225539 EED:250122 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX5539 TC,1060 Maverick Holding,"1,833.46","3,163.58"
,01/22/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250121 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX7225530 EED:250122 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX5530 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-29.49,"3,134.09"
,01/22/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250121 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX7225535 EED:250122 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX5535 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-18.55,"3,115.54"
,01/23/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250122 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX8866918 EED:250123 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX6918 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-64.38,"3,051.16"
,01/23/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250122 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8866884 EED:250123 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX6884 TC,1060 Maverick Holding,"1,586.07","4,637.23"
,01/23/2025,Credit Card Payment,,,,Payment to Chase card ending in 0444 01/23,2110 R. NOEL (8277) - 1,"-1,438.69","3,198.54"
,01/23/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250122 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8866767 EED:250123 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX6767 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-15.87,"3,182.67"
,01/24/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250123 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX3466064 EED:250124 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX6064 TC,1060 Maverick Holding,"1,283.13","4,465.80"
,01/24/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250123 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX3466126 EED:250124 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX6126 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-13.14,"4,452.66"
,01/25/2025,Deposit,,SPICY CUBES,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250124 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX0780195 EED:250127 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX0195 TC,1060 Maverick Holding,"1,776.81","6,229.47"
,01/25/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250124 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX0780208 EED:250127 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX0208 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-17.77,"6,211.70"
