Profit and Loss - YTD 2025 (Jan-Nov),,,,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,,,,
"January 1, 2025 - November 30, 2025",,,,,,,,,,,,

Distribution account,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,Total
6470 Travel,25.00,23.87,46.22,53.40,53.01,46.48,45.15,22.18,22.19,23.58,23.03,384.11
6495 Discretionary Spending Expense,"1,117.24",,863.21,,"1,726.42",863.21,863.21,863.21,863.21,863.21,933.17,"8,956.09"
Total for Expenses,"36,570.28","78,210.57","50,622.70","70,190.77","118,787.87","125,543.41","140,804.52","137,873.90","99,432.67","166,951.01","243,314.05","$1,268,301.75"
Net Operating Income,"17,512.59","24,504.85","15,230.09","57,182.51","93,024.80","126,369.32","22,610.20","13,166.44","54,218.18","60,441.65","145,730.11","$629,990.74"
Other Income,,,,,,,,,,,,
7000 Interest Income,,,,,,,,,,0.01,,0.01
Total for Other Income,,,,,,,,,,0.01,,"$0.01"
Other Expenses,,,,,,,,,,,,
Total for Other Expenses,,,,,,,,,,,,"$"
Net Other Income,,,,,,,,,,0.01,,"$0.01"
Net Income,"17,512.59","24,504.85","15,230.09","57,182.51","93,024.80","126,369.32","22,610.20","13,166.44","54,218.18","60,441.66","145,730.11","$629,990.75"


"Accrual Basis Thursday, December 11, 2025 07:09 PM",,,,,,,,,,,,
