Profit and Loss by Month,,,,,,,,,,,,,,,,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2024-November 30, 2025",,,,,,,,,,,,,,,,,,,,,,,,

Distribution account,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,Total
Gross Profit,"1,172.63","6,249.29",560.63,"39,851.44","14,396.15","9,312.82","43,635.98","74,954.59","24,568.95","17,403.43","20,607.97","73,824.27","54,082.87","102,715.42","65,852.79","127,373.28","211,812.67","251,912.73","163,414.72","151,040.34","153,650.85","227,392.66","389,044.16","$2,224,830.64"
Expenses,,,,,,,,,,,,,,,,,,,,,,,,
6000 Cost of Sales,,,,,,,,,,,,,,,,,,,,,,,,
6010 Outbound Shipping & Delivery,206.71,"3,114.84",657.37,"9,733.41","3,905.41","6,822.27","3,074.44","6,523.69","6,184.83","5,772.32","3,728.58","9,969.51","8,157.44","14,116.25","9,153.38","17,753.20","32,514.37","38,590.42","31,842.56","23,439.41","22,348.31","29,956.63","65,943.65","353,509.00"
6020 3PL Expense,,,,,,,882.20,"5,308.41","2,900.15","2,459.97","1,577.22",390.71,96.69,"25,841.83","7,502.98","3,606.17","6,816.60",294.21,"21,762.00","32,375.00",,"26,773.88","18,425.10","157,013.12"
6040 Storage,,,,,,,40.00,40.00,40.00,40.00,80.00,20.00,,,,,,,,,,,,260.00
6055 Amazon Seller Fees,122.80,"1,189.22",39.99,"2,224.78","1,261.13",370.29,"3,298.76","2,632.59",392.79,662.19,983.04,47.55,39.99,39.99,39.99,79.98,,,3.47,,,,8.47,"13,437.02"
6057 Amazon Shipping Fees,0.75,9.85,,,,,,,,0.02,0.04,,,,,,,,,,,,,10.66
6065 Shopify Merchant Fees,14.99,54.84,133.02,661.16,286.55,205.13,"1,072.42","1,564.03",986.29,246.31,448.09,"2,355.43",817.98,"1,554.27",586.39,"1,689.98","2,500.74","1,991.56","1,073.64","2,631.63","3,896.27","5,732.19","9,601.20","40,104.11"
6070 Shopify Selling Apps,,,,,,,,,,,,,996.25,"1,778.64","1,443.63","2,444.26","3,986.79","4,108.23","3,740.51","1,198.42",,,,"19,696.73"
6075 Other Merchant Processing Fees,70.27,129.04,37.73,"1,282.97",456.51,368.40,"1,001.80","2,875.74","3,071.32","1,177.25",855.67,"2,200.41","2,942.59","3,609.54","4,292.59","3,594.57","6,191.81","13,258.80","10,539.51","9,103.68","5,990.84","7,745.16","7,629.28","88,425.48"
Total for 6000 Cost of Sales,415.52,"4,497.79",868.11,"13,902.32","5,909.60","7,766.09","9,369.62","18,944.46","13,575.38","10,358.06","7,672.64","14,983.61","13,050.94","46,940.52","23,018.96","29,168.16","52,010.31","58,243.22","68,961.69","68,748.14","32,235.42","70,207.86","101,607.70","$672,456.12"
6100 Advertising & Marketing,137.93,,35.86,166.02,,,,174.25,,597.56,165.63,861.20,,,,,,,,,,,,"2,138.45"
6110 Paid Advertising,75.00,3.00,,,,730.00,359.89,,"1,270.72",711.72,36.25,143.47,,,,,,70.53,"1,358.00","1,651.19","9,066.77","13,579.98","38,697.36","67,753.88"
6120 Affiliate Marketing Expense,"1,420.27","3,403.22","3,173.32","6,482.74","4,908.56","6,289.32","8,384.67","14,145.28","6,350.94","6,305.18","6,274.16","21,313.12","18,353.36","28,360.94","23,970.44","36,004.09","51,223.22","52,968.95","50,141.01","44,260.27","36,684.35","55,416.26","75,674.79","561,508.46"
6125 Affiliate Recruitment,60.00,,,,,,,,,,,330.00,270.00,,390.00,"1,820.00",930.00,210.00,"1,890.00",862.09,"2,560.00",750.00,,"10,072.09"
6130 Marketing Contractors and Agencies,,"3,351.34","2,069.65","1,865.00","2,229.81","3,000.00","2,086.90",,350.00,,,,,,,345.88,"7,580.00","3,000.00","3,000.00","3,000.00","3,000.00","9,442.78","7,956.26","52,277.62"
6140 Advertising Software & Apps,"1,248.99",-616.67,50.00,444.41,50.00,638.00,50.00,50.00,150.00,71.78,438.43,714.78,378.72,699.57,406.67,280.66,"3,092.81","3,980.22","7,556.75","7,349.32","8,541.22","8,108.81","8,703.28","52,387.75"
6150 Other Adv & Marketing Expense,,,,,,,,,,,,,,,,,,,,"1,100.00",,,,"1,100.00"
Total for 6100 Advertising & Marketing,"2,942.19","6,140.89","5,328.83","8,958.17","7,188.37","10,657.32","10,881.46","14,369.53","8,121.66","7,686.24","6,914.47","23,362.57","19,002.08","29,060.51","24,767.11","38,450.63","62,826.03","60,229.70","63,945.76","58,222.87","59,852.34","87,297.83","131,031.69","$747,238.25"
6210 Bank Charges & Fees,-0.01,,65.00,40.00,80.00,,126.78,145.00,40.00,65.00,330.59,115.00,25.00,125.00,140.00,75.00,222.49,12.11,326.86,240.59,436.39,108.29,516.25,"3,235.34"
6240 Contractors,,527.95,,,,,,,,,"2,674.98",,,,,735.00,620.00,920.00,"2,900.00","3,664.00","3,097.44","3,229.91","6,987.94","25,357.22"
6260 Education & Training,,,,,,,,,"10,000.00",,,,,,,,,,,,,,,"10,000.00"
6290 Insurance,,,,172.25,516.75,,,,,,,,,,,187.25,,,,,,,,876.25
6300 Legal & Professional Services,530.50,772.00,30.50,160.50,36.50,38.00,38.00,41.00,296.00,54.50,59.00,66.50,68.00,84.50,98.00,116.00,108.50,"1,040.00",83.00,124.70,146.00,137.00,146.00,"4,274.70"
6330 Accounting Prof Services,,,,,,,,,,,,,"2,100.00",969.20,969.20,319.20,969.20,"3,768.45","3,118.45","3,285.20","2,594.50","3,285.20",559.20,"21,937.80"
6375 Software & Apps,135.18,339.60,370.35,53.20,31.60,97.80,97.80,"2,845.24",140.60,285.44,196.91,993.05,532.02,"1,056.97","1,285.40",367.13,251.91,420.24,590.40,"1,774.39","1,034.39","1,159.86",770.27,"14,829.75"
6390 Product Development,"2,485.31",66.96,669.33,149.11,,,,,,,62.85,"1,042.60",,,34.60,,,,,,,,,"4,510.76"
6410 Rent & Lease,,,,200.00,,300.00,,,300.00,,,300.00,,,,,,,,,,,,"1,100.00"
6450 Taxes & Licenses,,,,,,,,,,,,,,,,,,,,"1,135.00",134.41,168.27,332.80,"1,770.48"
6470 Travel,,,,,,,,,,,,,25.00,23.87,46.22,53.40,53.01,46.48,45.15,22.18,22.19,23.58,23.03,384.11
6495 Discretionary Spending Expense,,,,,,,,,,,,,"1,117.24",,863.21,,"1,726.42",863.21,863.21,863.21,863.21,863.21,933.17,"8,956.09"
Total for Expenses,"6,508.69","12,345.19","7,332.12","23,635.55","13,762.82","18,859.21","20,513.66","36,345.23","32,473.64","18,449.24","17,911.44","40,863.33","35,920.28","78,260.57","51,222.70","69,471.77","118,787.87","125,543.41","140,834.52","138,080.28","100,416.29","166,481.01","242,908.05","$1,516,926.87"
Net Operating Income,"-5,336.06","-6,095.90","-6,771.49","16,215.89",633.33,"-9,546.39","23,122.32","38,609.36","-7,904.69","-1,045.81","2,696.53","32,960.94","18,162.59","24,454.85","14,630.09","57,901.51","93,024.80","126,369.32","22,580.20","12,960.06","53,234.56","60,911.65","146,136.11","$707,903.77"
Other Income,,,,,,,,,,,,,,,,,,,,,,,,
7000 Interest Income,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01
7010 Other Miscellaneous Income,,,"1,043.13",,,,,,,,,,,,,,,,,,,,,"1,043.13"
Total for Other Income,,,"1,043.13",,,,,,,,,,,,,,,,,,,0.01,,"$1,043.14"
Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,
8005 Depreciation,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.63,291.67,,,,,,,,,,,,"3,500.00"
Total for Other Expenses,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.63,291.67,,,,,,,,,,,,"$3,500.00"
Net Other Income,-291.67,-291.67,751.46,-291.67,-291.67,-291.67,-291.67,-291.67,-291.67,-291.67,-291.63,-291.67,,,,,,,,,,0.01,,"-$2,456.86"
Net Income,"-5,627.73","-6,387.57","-6,020.03","15,924.22",341.66,"-9,838.06","22,830.65","38,317.69","-8,196.36","-1,337.48","2,404.90","32,669.27","18,162.59","24,454.85","14,630.09","57,901.51","93,024.80","126,369.32","22,580.20","12,960.06","53,234.56","60,911.66","146,136.11","$705,446.91"


"Accrual Basis Thursday, December 11, 2025 09:34 PM",,,,,,,,,,,,,,,,,,,,,,,,
